"Reference","Value","Footprint","Datasheet","Qty","DigiKey_Part_Number","DNP","Exclude from BOM","Exclude from Board"
"C1,C12,C16,C18,C20,C22,C26","0.1uF","Capacitor_SMD:C_0402_1005Metric","","7","C0402C104K4RACTU","","",""
"C2,C3,C4,C5","0.1uF","Capacitor_SMD:C_0201_0603Metric","","4","GRM033C71C104KE14D","","",""
"C6","4.7uF","Capacitor_SMD:C_0201_0603Metric","","1","GRM155R60J475ME87D","","",""
"C7,C8","16pF","Capacitor_SMD:C_0402_1005Metric","","2","GJM1555C1H160FB01J","","",""
"C9,C10","5pF","Capacitor_SMD:C_0402_1005Metric","","2","GRM1555C1H5R0BA01D","","",""
"C13,C14","2.2uF","Capacitor_SMD:C_0402_1005Metric","","2","GRM155C80J225KE95D","","",""
"C15,C21,C23","10uF","Capacitor_SMD:C_0402_1005Metric","","3","GRM155R61A106ME11D","","",""
"C17","1nF","Capacitor_SMD:C_0402_1005Metric","","1","C0402C102K5RACTU","","",""
"C19","33uF","Capacitor_SMD:C_0402_1005Metric","","1","C2012X5R0J336M125AC","","",""
"C24","10nF","Capacitor_SMD:C_0402_1005Metric","","1","GRM155R71C103KA01D","","",""
"C25","33nF","Capacitor_SMD:C_0402_1005Metric","","1","C0402C333J4RACTU","","",""
"D1,D3","UCLAMP3311P.TCT","Diode_SMD:D_0402_1005Metric","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/8880/uClamp3311ZV.pdf","2","UCLAMP3311P.TCT","","",""
"D2","RED LED","LED_SMD:LED_0402_1005Metric","","1","SML-D12U1WT86","","",""
"D4","BLUE LED","LED_SMD:LED_0805_2012Metric","https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/150080bs75000/4489912","1","150080BS75000","","",""
"D5","GREEN LED","LED_SMD:LED_0402_1005Metric","","1","150060GS75000","","",""
"J1","USB_C_Receptacle_USB2.0_16P","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://gct.co/files/specs/usb4215-spec.pdf","1","USB4215-03-A","","",""
"Q1","NTA4151P","NTA4151PT1G:SOT50P160X90-3N","","1","NTA4151PT1G","","",""
"Q2","NTA4153N","NTA4151PT1G:SOT50P160X90-3N","","1","NTA4153NT1G","","",""
"R3,R21,R22","10k","Resistor_SMD:R_0402_1005Metric","","3","RMCF0402FT10K0","","",""
"R4,R5","4.7k","Resistor_SMD:R_0402_1005Metric","","2","RC0402JR-074K7L","","",""
"R6,R7","5.1k","Resistor_SMD:R_0402_1005Metric","","2","RC0402FR-075K1L","","",""
"R8,R9,R12","250R","Resistor_SMD:R_0402_1005Metric","","3","RE0402BRE07250RL","","",""
"R10,R11,R18","51k","Resistor_SMD:R_0402_1005Metric","","3","ERA-2AEB513X","","",""
"R13","37.4K","Resistor_SMD:R_0402_1005Metric","","1","ERJ-2RKF3742X","","",""
"R14,R15","1.5K","Resistor_SMD:R_0402_1005Metric","","2","RC0402FR-071K5L","","",""
"R16","510k","Resistor_SMD:R_0402_1005Metric","","1","RC0402FR-07510KL","","",""
"R17","50R","Resistor_SMD:R_0402_1005Metric","","1","RT0402BRE0750RL","","",""
"R19","3.3K","Resistor_SMD:R_0402_1005Metric","","1","ERA-2AEB332X","","",""
"R20","1K","Resistor_SMD:R_0402_1005Metric","","1","RC0402FR-071KL","","",""
"R25","10K","Resistor_SMD:R_0402_1005Metric","","1","RMCF0402FT10K0","","",""
"SW3","RESET","Button_Switch_SMD:SW_SPST_PTS810","http://www.apem.com/int/index.php?controller=attachment&id_attachment=488","1","PTS810SJK250SMTR LFS","","",""
"SW4","BOOT0","Button_Switch_SMD:SW_SPST_PTS810","http://www.apem.com/int/index.php?controller=attachment&id_attachment=488","1","PTS810SJK250SMTR LFS","","",""
"U1","SA868S","VHF_UHF_Modules:VHF_UHF_Module_generic","https://www.nicerf.com/walkie-talkie-module/2w-embedded-walkie-talkie-module-sa868.html","1","SA868S","","",""
"U2","STM32F411CEU6TR","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","https://www.st.com/resource/en/datasheet/stm32f411ce.pdf","1","STM32F411CEU6TR","","",""
"U3","ADXL343","Package_LGA:LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y","https://www.analog.com/media/en/technical-documentation/data-sheets/ADXL343.pdf","1","ADXL343BCCZ-RL7","","",""
"U4","MIC5528-3.3YMX-TR","footprints:XTDFN6_1P2X1P2_MCH","https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/MIC5528-High-Performance-500mA-LDO-in-Thin-and-Extra-Thin-DFN-Packages-DS20005982B.pdf","1","MIC5528-3.3YMX-TR","","",""
"U6","BQ24070RHLR","BQ24070RHLR:RHL20_2P05X3P05","https://www.ti.com/lit/gpn/bq24070","1","296-19652-1-ND","","",""
"Y1","25MHz 18pF","Crystal:Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm","https://abracon.com/Resonators/ABM3.pdf","1","ABM3-25.000MHZ-D2Y-T","","",""
"Y2","32.768kHz 12.5pF","Crystal:Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6285/12.87167.PDF","1","12.87167","","",""
