"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"";"";1;"";;;
2;"ANT.GND1, ANT.SIG1";"MountingHole_3.2mm_M3_DIN965_Pad_TopBottom";2;"Conn_01x01_Pin";;;
3;"BOOT0";"SW_SPST_PTS810";1;"BOOT0";;;
4;"C1, C12, C16, C18, C20, C22, C26";"C_0402_1005Metric";7;"0.1uF";;;
5;"C2, C3, C4, C5";"C_0201_0603Metric";4;"0.1uF";;;
6;"C6";"C_0201_0603Metric";1;"4.7uF";;;
7;"C7, C8";"C_0402_1005Metric";2;"16pF";;;
8;"C9, C10";"C_0402_1005Metric";2;"5pF";;;
9;"C13, C14";"C_0402_1005Metric";2;"2.2uF";;;
10;"C15, C21, C23";"C_0402_1005Metric";3;"10uF";;;
11;"C17";"C_0402_1005Metric";1;"1nF";;;
12;"C19";"C_0402_1005Metric";1;"33uF";;;
13;"C24";"C_0402_1005Metric";1;"10nF";;;
14;"C25";"C_0402_1005Metric";1;"33nF";;;
15;"D1, D3";"D_0402_1005Metric";2;"UCLAMP3311P.TCT";;;
16;"D2";"LED_0402_1005Metric";1;"RED LED";;;
17;"D4";"LED_0805_2012Metric";1;"BLUE LED";;;
18;"D5";"LED_0402_1005Metric";1;"GREEN LED";;;
19;"J1";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_16P";;;
20;"J3";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"Conn_01x02_Pin";;;
21;"Q1";"SOT50P160X90-3N";1;"NTA4151P";;;
22;"Q2";"SOT50P160X90-3N";1;"NTA4153N";;;
23;"R3, R21, R22";"R_0402_1005Metric";3;"10k";;;
24;"R4, R5";"R_0402_1005Metric";2;"4.7k";;;
25;"R6, R7";"R_0402_1005Metric";2;"5.1k";;;
26;"R8, R9, R12";"R_0402_1005Metric";3;"250R";;;
27;"R10, R11, R18";"R_0402_1005Metric";3;"51k";;;
28;"R13";"R_0402_1005Metric";1;"37.4K";;;
29;"R14, R15";"R_0402_1005Metric";2;"1.5K";;;
30;"R16";"R_0402_1005Metric";1;"510k";;;
31;"R17";"R_0402_1005Metric";1;"50R";;;
32;"R19";"R_0402_1005Metric";1;"3.3K";;;
33;"R20";"R_0402_1005Metric";1;"1K";;;
34;"R25";"R_0402_1005Metric";1;"10K";;;
35;"RESET";"SW_SPST_PTS810";1;"RESET";;;
36;"U1";"VHF_UHF_Module_generic";1;"SA868S";;;
37;"U2";"QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm";1;"STM32F411CEU6TR";;;
38;"U3";"LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y";1;"ADXL343";;;
39;"U4";"XTDFN6_1P2X1P2_MCH";1;"MIC5528-3.3YMX-TR";;;
40;"U6";"RHL20_2P05X3P05";1;"BQ24070RHLR";;;
41;"Y1";"Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm";1;"25MHz 18pF";;;
42;"Y2";"Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm";1;"32.768kHz 12.5pF";;;
